,seqNum,date,time,askPrice5,askPrice4,askPrice3,askPrice2,askPrice1,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,askSize5,askSize4,askSize3,askSize2,askSize1,bidSize1,bidSize2,bidSize3,bidSize4,bidSize5,deriveFlag,deriveBuyPrice,deriveSellPrice,deriveBuyQty,deriveSellQty
34,7471,2019-04-01,84518440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,40,69,69,68,74,74,65,55,52,1,24650,24850,1,12
35,7556,2019-04-01,84518940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,40,69,69,68,74,74,65,55,52,1,24650,24850,1,12
36,7645,2019-04-01,84519565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,40,69,49,68,74,74,65,55,52,1,24650,24850,1,12
37,7711,2019-04-01,84519940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,40,69,49,68,74,74,65,55,52,1,24650,24850,1,12
38,8424,2019-04-01,84524565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,38,40,69,49,68,74,74,65,55,52,1,24650,24850,1,12
39,8459,2019-04-01,84524815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,40,69,49,68,74,74,65,55,52,1,24650,24850,1,12
40,8600,2019-04-01,84525690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,40,69,49,72,74,74,65,55,52,1,24650,24850,1,12
41,8858,2019-04-01,84527315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,40,69,49,72,74,74,65,55,52,1,24650,24850,1,12
42,8991,2019-04-01,84528065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,40,69,50,72,74,74,65,55,52,1,24650,24850,1,12
43,9123,2019-04-01,84528940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,40,69,50,72,74,74,65,55,52,1,24650,24850,1,12
44,9381,2019-04-01,84530690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,68,50,72,74,74,65,55,52,1,24650,24850,1,12
45,9408,2019-04-01,84530815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,73,50,72,74,74,65,55,52,1,24650,24850,1,12
46,9468,2019-04-01,84531190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,78,50,72,74,74,65,55,52,1,24650,24850,1,12
47,9505,2019-04-01,84531565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,83,50,72,74,74,65,55,52,1,24650,24850,1,12
